Product				https://www.fibl.org/de/standorte/oesterreich/schwerpunkte-at/klimaschutz/klimaschutz-projekte/co2-fussabdruck.html	production	transport	packaging	storage
Bell pepper (eco)	0.116	Zurück zum Ursprung; Production: 0.023; Transport: 0.066; Packaging: 0.02; Storage: 0.007; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.023	0.066	0.02	0.007
Pointed pepper	0.148	Konventionell; Production: 0.055; Transport: 0.066; Packaging: 0.02; Storage: 0.007; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.055	0.066	0.02	0.007
Pointed pepper (eco)	0.117	Zurück zum Ursprung; Production: 0.024; Transport: 0.066; Packaging: 0.02; Storage: 0.007; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.024	0.066	0.02	0.007
Leek	0.129	Konventionell; Production: 0.055; Transport: 0.056; Packaging: 0.013; Storage: 0.005; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.055	0.056	0.013	0.005
Leek (eco)	0.108	Zurück zum Ursprung; Production: 0.035; Transport: 0.056; Packaging: 0.013; Storage: 0.006; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.035	0.056	0.013	0.006
Lamb's lettuce	0.222	Konventionell; Production: 0.058; Transport: 0.065; Packaging: 0.096; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.058	0.065	0.096	
Lamb's lettuce (eco)	0.19	Zurück zum Ursprung; Production: 0.026; Transport: 0.065; Packaging: 0.096; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.026	0.065	0.096	
Radish	0.124	Konventionell; Production: 0.065; Transport: 0.058; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.065	0.058		
Radish (eco)	0.079	Zurück zum Ursprung; Production: 0.02; Transport: 0.058; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Zurück zum Ursprung	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.02	0.058		
Potato	0.183	Konventionell; Production: 0.094; Transport: 0.051; Packaging: 0.027; Storage: 0.011; https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	Konventionell	https://www.fibl.org/fileadmin/documents/de/oesterreich/arbeitsschwerpunkte/Klima/ergebnisse_gemuese_gesamt_090625.pdf	0.094	0.051	0.027	0.011
