Name	Median	Remark
Eggs	3.46	Table 5 Median; #LCA studies: 19; #GWP values: 38; Mean: 3.39; Stdev: 1.21; Min: 1.3; Max: 6
Fennel	0.48	Table 5 Median; #LCA studies: 1; #GWP values: 1
Figs	0.43	Table 5 Median; #LCA studies: 1; #GWP values: 1
Fish	3.49	Table 4 Median; #LCA studies: 47; #GWP values: 148; Mean: 4.41; Stdev: 3.62; Min: 0.78; Max: 20.86
French and runner beans	0.75	Table 5 Median; #LCA studies: 1; #GWP values: 4; Mean: 0.85; Stdev: 0.37; Min: 0.52; Max: 1.37
Fruit (greenhouse, heated)	2.13	Table 4 Median; #LCA studies: 18; #GWP values: 53; Mean: 2.81; Stdev: 1.61; Min: 0.84; Max: 7.4
Fruit (greenhouse, passive)	1.1	Table 4 Median; #LCA studies: 5; #GWP values: 15; Mean: 1.02; Stdev: 0.49; Min: 0.32; Max: 1.94
Fruits	0.42	Table 4 Median; #LCA studies: 77; #GWP values: 250; Mean: 0.5; Stdev: 0.32; Min: 0.08; Max: 1.78
Garlic	0.57	Table 5 Median; #LCA studies: 1; #GWP values: 1
Gherkins	0.23	Table 5 Median; #LCA studies: 7; #GWP values: 15; Mean: 0.33; Stdev: 0.32; Min: 0.13; Max: 1.3
Gherkins (greenhouse, heated)	2.1	Table 5 Median; #LCA studies: 5; #GWP values: 7; Mean: 2.23; Stdev: 0.71; Min: 1.68; Max: 3.79
Ginger	0.88	Table 5 Median; #LCA studies: 1; #GWP values: 1
Gooseberries	0.84	Table 5 Median; #LCA studies: 1; #GWP values: 1
Grapefruit	0.51	Table 5 Median; #LCA studies: 2; #GWP values: 1
Grapes	0.37	Table 5 Median; #LCA studies: 5; #GWP values: 6; Mean: 0.41; Stdev: 0.25; Min: 0.15; Max: 0.88
Green beans	0.31	Table 5 Median; #LCA studies: 4; #GWP values: 7; Mean: 0.51; Stdev: 0.47; Min: 0.24; Max: 1.55
Ground nuts	0.99	Table 5 Median; #LCA studies: 2; #GWP values: 2; Mean: 0.99; Stdev: 0.48; Min: 0.65; Max: 1.33
Guavas	0.28	Table 5 Median; #LCA studies: 1; #GWP values: 1
Haddock	3.41	Table 5 Median; #LCA studies: 2; #GWP values: 4; Mean: 3.37; Stdev: 0.08; Min: 2.8; Max: 3.84
Hake	9.77	Table 5 Median; #LCA studies: 5; #GWP values: 7; Mean: 8.98; Stdev: 3.93; Min: 2.14; Max: 14.15
